Sample	Ctcf_E	Dnase1_E	H3k27ac_E	H3k27me3_E	H3k36me3_E	H3k4me2_E	H3k9ac_E	H4k20me1_E	Rad21_E	Tbp_E	Ctcf_P	Dnase1_P	H3k27ac_P	H3k27me3_P	H3k36me3_P	H3k4me2_P	H3k9ac_P	H4k20me1_P	Rad21_P	Tbp_P	Correlation	Exp	Class
chr1_111325000_111330000-chr1_111170000_111175000	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0.860966	0.000119	1
chr1_111525000_111530000-chr1_111060000_111065000	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0.831407	0	1
chr1_111525000_111530000-chr1_111170000_111175000	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0.217638	0.000119	1
chr1_111530000_111535000-chr1_111060000_111065000	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0.293421	0	1
chr1_111535000_111540000-chr1_111060000_111065000	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0.241448	0	1
chr1_111760000_111765000-chr1_111930000_111935000	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0.816532	0	1
chr1_112020000_112025000-chr1_112290000_112295000	1	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0.808271	0.015447	1
chr1_112020000_112025000-chr1_112295000_112300000	1	1	0	1	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	0.0660347	0.37075	1
chr1_112050000_112055000-chr1_112190000_112195000	1	1	1	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	-0.448826	0	1
chr1_112055000_112060000-chr1_112190000_112195000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.111111	0	1
chr1_112255000_112260000-chr1_112295000_112300000	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	0.123891	0.37075	1
chr1_112930000_112935000-chr1_113150000_113155000	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0.269385	0.44081	1
chr1_112930000_112935000-chr1_113155000_113160000	1	1	0	0	0	1	0	0	1	0	1	0	1	0	1	1	1	0	1	0	0.165934	5.10489	1
chr1_112930000_112935000-chr1_113250000_113255000	1	1	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0.551748	4.7994	1
chr1_113040000_113045000-chr1_113150000_113155000	1	1	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	-0.382692	0.44081	1
chr1_113040000_113045000-chr1_113155000_113160000	1	1	0	1	0	1	1	0	1	0	1	0	1	0	1	1	1	0	1	0	0.571743	5.10489	1
chr1_113040000_113045000-chr1_113250000_113255000	1	1	0	1	0	1	1	0	1	0	1	1	1	0	0	1	1	0	1	0	0.620322	4.7994	1
chr1_113040000_113045000-chr1_113255000_113260000	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	1	0.872531	0.319334	1
chr1_113345000_113350000-chr1_113260000_113265000	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	1	0	1	0	0.554843	0.319334	1
chr1_113580000_113585000-chr1_113260000_113265000	0	0	1	0	0	1	1	0	0	0	1	1	0	1	0	0	1	0	1	0	-0.0926708	0.319334	1
chr1_113585000_113590000-chr1_113260000_113265000	1	1	1	0	0	1	1	0	1	0	1	1	0	1	0	0	1	0	1	0	0.282604	0.319334	1
chr1_115680000_115685000-chr1_116310000_116315000	1	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0.326212	0	1
chr1_116155000_116160000-chr1_116310000_116315000	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0.354272	0	1
chr1_116675000_116680000-chr1_117040000_117045000	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0.602805	0	1
chr1_116900000_116905000-chr1_117020000_117025000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0.157973	0	1
chr1_11775000_11780000-chr1_11715000_11720000	1	1	0	1	0	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0.590424	0.186134	1
chr1_11950000_11955000-chr1_11900000_11905000	1	1	0	1	0	0	1	0	1	0	0	1	1	0	1	1	1	0	0	0	-0.150391	0.015702	1
chr1_120340000_120345000-chr1_120510000_120515000	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0.218176	0	1
chr1_12175000_12180000-chr1_12830000_12835000	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0.240986	0	1
chr1_12195000_12200000-chr1_12830000_12835000	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.111111	0	1
chr1_12270000_12275000-chr1_12185000_12190000	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1	0	1	0	0.424197	0.152758	1
chr1_12350000_12355000-chr1_12830000_12835000	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.111111	0	1
chr1_12710000_12715000-chr1_12185000_12190000	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	1	0	1	0	0.284415	0.152758	1
chr1_12715000_12720000-chr1_12185000_12190000	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	0	1	0	1	0	0.568232	0.152758	1
chr1_12825000_12830000-chr1_12185000_12190000	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0.300015	0.152758	1
chr1_12825000_12830000-chr1_12355000_12360000	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.111111	0	1
chr1_12825000_12830000-chr1_12370000_12375000	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0.217574	0	1
chr1_12840000_12845000-chr1_12185000_12190000	1	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0.502585	0.152758	1
chr1_12840000_12845000-chr1_12355000_12360000	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0.21642	0	1
chr1_12840000_12845000-chr1_12370000_12375000	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0.635501	0	1
chr1_14275000_14280000-chr1_14020000_14025000	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0.747272	0.397168	1
chr1_14280000_14285000-chr1_14020000_14025000	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0.577374	0.397168	1
chr1_14285000_14290000-chr1_14020000_14025000	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0.448634	0.397168	1
chr1_14290000_14295000-chr1_14020000_14025000	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0.289015	0.397168	1
chr1_14295000_14300000-chr1_14020000_14025000	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0.422972	0.397168	1
chr1_145420000_145425000-chr1_145585000_145590000	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	0.203616	0.245777	1
chr1_150425000_150430000-chr1_150780000_150785000	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0.063578	1
chr1_150425000_150430000-chr1_150785000_150790000	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0.659284	0.749117	1
chr1_150425000_150430000-chr1_150790000_150795000	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0.749117	1
chr1_150430000_150435000-chr1_150780000_150785000	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0.063578	1
chr1_150430000_150435000-chr1_150785000_150790000	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0.659284	0.749117	1
chr1_150430000_150435000-chr1_150790000_150795000	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0.749117	1
chr1_150435000_150440000-chr1_150780000_150785000	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0.210462	0.063578	1
chr1_150435000_150440000-chr1_150785000_150790000	1	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0.595978	0.749117	1
chr1_150435000_150440000-chr1_150790000_150795000	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0.210462	0.749117	1
chr1_150440000_150445000-chr1_150780000_150785000	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0.063578	1
chr1_150440000_150445000-chr1_150785000_150790000	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0.659284	0.749117	1
chr1_150440000_150445000-chr1_150790000_150795000	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0.749117	1
chr1_150445000_150450000-chr1_150780000_150785000	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0.063578	1
chr1_150445000_150450000-chr1_150785000_150790000	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0.659284	0.749117	1
chr1_150445000_150450000-chr1_150790000_150795000	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0.749117	1
chr1_150585000_150590000-chr1_150550000_150555000	0	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	1	0	1	0.417348	3.43563	1
chr1_150965000_150970000-chr1_150230000_150235000	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0.120919	0.002321	1
chr1_150965000_150970000-chr1_150240000_150245000	1	0	1	0	0	0	1	0	1	0	1	1	1	0	1	1	1	0	0	1	0.0221963	2.33163	1
chr1_150965000_150970000-chr1_150245000_150250000	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0.598509	0.015065	1
chr1_150965000_150970000-chr1_150530000_150535000	1	0	1	0	0	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	0.367123	1.69027	1
chr1_150965000_150970000-chr1_150540000_150545000	1	0	1	0	0	0	1	0	1	0	1	0	1	0	1	1	1	0	0	0	0.130427	0.010452	1
chr1_150970000_150975000-chr1_150230000_150235000	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0.843162	0.002321	1
chr1_150970000_150975000-chr1_150240000_150245000	0	0	1	0	0	1	1	0	0	0	1	1	1	0	1	1	1	0	0	1	0.531635	2.33163	1
chr1_150970000_150975000-chr1_150245000_150250000	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0.214555	0.015065	1
chr1_150970000_150975000-chr1_150530000_150535000	0	0	1	0	0	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	-0.334695	1.69027	1
chr1_150970000_150975000-chr1_150540000_150545000	0	0	1	0	0	1	1	0	0	0	1	0	1	0	1	1	1	0	0	0	0.409239	0.010452	1
chr1_151070000_151075000-chr1_151125000_151130000	1	1	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0.739206	0.043973	1
chr1_152410000_152415000-chr1_152020000_152025000	1	1	0	1	0	0	0	0	1	0	1	1	1	1	0	1	1	0	0	1	0.0289457	2.38975	1
chr1_152420000_152425000-chr1_152160000_152165000	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1
chr1_153180000_153185000-chr1_152625000_152630000	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0.213084	0	1
chr1_153475000_153480000-chr1_153950000_153955000	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0.632615	3.65571	1
chr1_153475000_153480000-chr1_153955000_153960000	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	1	0	1	1	0.678293	0.352959	1
chr1_153475000_153480000-chr1_153960000_153965000	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	0	1	0.533174	8.40362	1
chr1_153475000_153480000-chr1_153965000_153970000	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0.559218	8.40362	1
chr1_153480000_153485000-chr1_153535000_153540000	1	1	0	0	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0.246955	0.007831	1
chr1_153480000_153485000-chr1_153745000_153750000	1	1	0	0	0	0	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0.162359	0.055951	1
chr1_153480000_153485000-chr1_153950000_153955000	1	1	0	0	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0.0844697	3.65571	1
chr1_153480000_153485000-chr1_153955000_153960000	1	1	0	0	0	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0.464184	0.352959	1
chr1_153480000_153485000-chr1_153960000_153965000	1	1	0	0	0	0	1	0	1	0	0	1	1	0	1	1	1	0	0	1	-0.327331	8.40362	1
chr1_153480000_153485000-chr1_153965000_153970000	1	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	1	0	0	0	-0.375598	8.40362	1
chr1_153485000_153490000-chr1_153535000_153540000	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0.595657	0.007831	1
chr1_153485000_153490000-chr1_153745000_153750000	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0.749889	0.055951	1
chr1_153485000_153490000-chr1_153950000_153955000	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0.782754	3.65571	1
chr1_153485000_153490000-chr1_153955000_153960000	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	1	1	0	1	1	0.55136	0.352959	1
chr1_153485000_153490000-chr1_153960000_153965000	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	1	0	0	1	0.665822	8.40362	1
chr1_153485000_153490000-chr1_153965000_153970000	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0.713914	8.40362	1
chr1_153495000_153500000-chr1_153950000_153955000	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0.775135	3.65571	1
chr1_153495000_153500000-chr1_153955000_153960000	0	0	1	0	0	1	1	0	0	0	1	1	1	0	0	1	1	0	1	1	0.403998	0.352959	1
chr1_153495000_153500000-chr1_153960000_153965000	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	1	1	0	0	1	0.63813	8.40362	1
chr1_153495000_153500000-chr1_153965000_153970000	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0.70064	8.40362	1
chr1_15350000_15355000-chr1_15250000_15255000	1	1	0	0	0	0	1	0	1	0	1	1	1	0	0	1	1	1	1	0	0.708688	0.059874	1
chr1_153775000_153780000-chr1_153950000_153955000	0	1	1	0	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0.523443	3.65571	1
chr1_153775000_153780000-chr1_153955000_153960000	0	1	1	0	1	0	1	0	0	0	1	1	1	0	0	1	1	0	1	1	0.253215	0.352959	1
chr1_154325000_154330000-chr1_154510000_154515000	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.250329	0	1
chr1_154720000_154725000-chr1_154530000_154535000	1	0	0	1	0	0	0	0	1	0	1	1	1	1	1	1	1	0	1	1	0.0916333	0	1
chr1_154725000_154730000-chr1_154530000_154535000	1	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	0.0917268	0	1
chr1_154915000_154920000-chr1_154550000_154555000	1	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	0	-0.464603	0.004868	1
chr1_154915000_154920000-chr1_154555000_154560000	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0.262326	2.08477	1
chr1_100915000_100920000-chr1_100500000_100505000	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	1	0	1	1	-0.341217	0.789042	0
chr1_1055000_1060000-chr1_1330000_1335000	1	1	0	1	0	0	1	0	1	0	1	1	1	0	1	1	1	1	0	1	0.3118	3.15507	0
chr1_10660000_10665000-chr1_11140000_11145000	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0.111111	1.27904	0
chr1_10770000_10775000-chr1_11130000_11135000	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0.0685752	1.27904	0
chr1_10810000_10815000-chr1_11335000_11340000	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	-0.324636	0.394207	0
chr1_10890000_10895000-chr1_10525000_10530000	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0.166507	0.923251	0
chr1_109095000_109100000-chr1_109730000_109735000	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0.689343	0.004052	0
chr1_10910000_10915000-chr1_10185000_10190000	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0.163465	0.545147	0
chr1_109695000_109700000-chr1_109875000_109880000	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0.111111	1.15591	0
chr1_109885000_109890000-chr1_109730000_109735000	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0.256052	0.004052	0
chr1_10995000_11000000-chr1_11335000_11340000	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0.0837855	0.394207	0
chr1_109980000_109985000-chr1_110455000_110460000	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0.214748	0.104646	0
chr1_110115000_110120000-chr1_110580000_110585000	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0.500316	0
chr1_110120000_110125000-chr1_110585000_110590000	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0.500316	0
chr1_110245000_110250000-chr1_110200000_110205000	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.164707	0.784694	0
chr1_110245000_110250000-chr1_110585000_110590000	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.164707	0.500316	0
chr1_110415000_110420000-chr1_110455000_110460000	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0.653154	0.104646	0
chr1_110420000_110425000-chr1_110195000_110200000	1	0	1	0	0	1	1	0	1	0	1	1	1	0	0	1	1	0	0	1	0.399555	0.784694	0
chr1_110435000_110440000-chr1_110585000_110590000	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	-0.324396	0.500316	0
chr1_110485000_110490000-chr1_110545000_110550000	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0.901359	1.70154	0
chr1_110630000_110635000-chr1_110575000_110580000	1	1	0	1	0	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	-0.471485	0.500316	0
chr1_110665000_110670000-chr1_110305000_110310000	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0.126647	0.001675	0
chr1_110685000_110690000-chr1_110300000_110305000	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0.839725	0.001675	0
chr1_110770000_110775000-chr1_110560000_110565000	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0.151162	1.70154	0
chr1_110805000_110810000-chr1_110560000_110565000	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.166662	1.70154	0
chr1_110830000_110835000-chr1_110305000_110310000	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0.126647	0.001675	0
chr1_110895000_110900000-chr1_110545000_110550000	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	1	1	0	0	0	0.0925587	1.70154	0
chr1_11090000_11095000-chr1_11130000_11135000	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0.131555	1.27904	0
chr1_110905000_110910000-chr1_110995000_111000000	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0.230679	0.000929	0
chr1_110915000_110920000-chr1_110190000_110195000	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0.186351	0.000804	0
chr1_110925000_110930000-chr1_110560000_110565000	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1.70154	0
chr1_110975000_110980000-chr1_110545000_110550000	1	1	0	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	0	0	-0.683689	1.70154	0
chr1_110980000_110985000-chr1_110545000_110550000	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	-0.323243	1.70154	0
chr1_111040000_111045000-chr1_110300000_110305000	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0.839725	0.001675	0
chr1_111095000_111100000-chr1_110955000_110960000	1	1	0	1	0	0	0	1	1	0	1	1	1	0	0	1	1	0	1	1	0.097912	0	0
chr1_111800000_111805000-chr1_112290000_112295000	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0.198306	0.015447	0
chr1_11180000_11185000-chr1_10525000_10530000	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0.923251	0
