Sample	Ctcf_E	Dnase1_E	H3k27ac_E	H3k27me3_E	H3k36me3_E	H3k4me2_E	H3k9ac_E	H4k20me1_E	Rad21_E	Tbp_E	Ctcf_P	Dnase1_P	H3k27ac_P	H3k27me3_P	H3k36me3_P	H3k4me2_P	H3k9ac_P	H4k20me1_P	Rad21_P	Tbp_P	Correlation	Exp	Class
chr1_114880000_114885000-chr1_115210000_115215000	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0.30397	0.000937	1
chr1_114885000_114890000-chr1_115210000_115215000	1	1	0	1	0	1	0	0	1	0	1	1	0	0	0	1	1	0	1	0	0.957576	0.000937	1
chr1_115655000_115660000-chr1_115520000_115525000	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0.917832	0	1
chr1_115680000_115685000-chr1_116010000_116015000	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0.920486	0	1
chr1_115680000_115685000-chr1_116310000_116315000	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0.995164	0	1
chr1_11775000_11780000-chr1_11715000_11720000	1	1	0	0	0	1	1	0	1	0	0	1	1	0	1	1	1	0	0	0	0.502711	0.068814	1
chr1_118060000_118065000-chr1_118440000_118445000	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1
chr1_118065000_118070000-chr1_118440000_118445000	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1
chr1_118690000_118695000-chr1_119530000_119535000	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0.234302	0	1
chr1_118695000_118700000-chr1_119530000_119535000	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0.234302	0	1
chr1_11950000_11955000-chr1_11900000_11905000	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0.418801	0.006813	1
chr1_12265000_12270000-chr1_12185000_12190000	1	1	1	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0.849263	0.475367	1
chr1_12330000_12335000-chr1_12675000_12680000	1	0	0	0	1	0	0	0	1	0	1	1	0	1	0	1	1	1	1	0	0.452349	0	1
chr1_145055000_145060000-chr1_144915000_144920000	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0.692282	0.394631	1
chr1_150140000_150145000-chr1_150045000_150050000	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0.761462	0.793114	1
chr1_151070000_151075000-chr1_151125000_151130000	1	1	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0.306088	0.44836	1
chr1_151900000_151905000-chr1_151965000_151970000	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0.0833369	0.00245	1
chr1_151905000_151910000-chr1_151965000_151970000	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0.509941	0.00245	1
chr1_152430000_152435000-chr1_152160000_152165000	1	1	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0.921382	0.00027	1
chr1_152895000_152900000-chr1_152625000_152630000	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0.992276	0	1
chr1_153480000_153485000-chr1_153540000_153545000	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0.946074	0.014838	1
chr1_153480000_153485000-chr1_153720000_153725000	1	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0.739332	1.20045	1
chr1_153480000_153485000-chr1_153960000_153965000	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	1	-0.0603314	5.61363	1
chr1_153775000_153780000-chr1_153950000_153955000	0	1	1	0	1	1	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0.789745	1.87946	1
chr1_153775000_153780000-chr1_153955000_153960000	0	1	1	0	1	1	1	0	0	0	1	1	0	0	0	1	1	0	1	0	0.305962	0.005885	1
chr1_154640000_154645000-chr1_155030000_155035000	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0.776653	0.15554	1
chr1_154640000_154645000-chr1_155035000_155040000	1	1	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	1	0.611295	0.15554	1
chr1_155565000_155570000-chr1_155220000_155225000	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0.394819	0	1
chr1_156060000_156065000-chr1_156095000_156100000	1	1	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	1	0.39801	0.617281	1
chr1_156190000_156195000-chr1_156125000_156130000	0	0	1	0	1	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	0.640364	0.224689	1
chr1_156285000_156290000-chr1_156115000_156120000	1	1	0	0	1	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0.0784784	0.224689	1
chr1_156410000_156415000-chr1_156355000_156360000	1	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0.603322	0	1
chr1_156770000_156775000-chr1_156830000_156835000	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	1	1	0	0.0969936	0	1
chr1_158475000_158480000-chr1_158965000_158970000	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0.897981	0	1
chr1_158475000_158480000-chr1_159040000_159045000	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	0	1	0	0.409905	0	1
chr1_158475000_158480000-chr1_159045000_159050000	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	1	-0.478474	0	1
chr1_159020000_159025000-chr1_158985000_158990000	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	1	0	0	1	0.248096	0	1
chr1_159130000_159135000-chr1_159165000_159170000	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0.631545	0.003961	1
chr1_160015000_160020000-chr1_160050000_160055000	1	1	0	0	0	1	0	0	1	0	1	1	0	1	0	1	0	0	1	0	0.906456	0.000222	1
chr1_160220000_160225000-chr1_160065000_160070000	1	1	0	0	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	0.045514	0.233841	1
chr1_160220000_160225000-chr1_160165000_160170000	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0.232765	0.010299	1
chr1_160260000_160265000-chr1_160065000_160070000	1	1	0	0	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	-0.290891	0.233841	1
chr1_160650000_160655000-chr1_160920000_160925000	1	0	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0.0509873	0.000679	1
chr1_160695000_160700000-chr1_160920000_160925000	1	0	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0.225919	0.000679	1
chr1_160745000_160750000-chr1_160920000_160925000	1	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0.435684	0.000679	1
chr1_161260000_161265000-chr1_161195000_161200000	1	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	0.482394	0.149833	1
chr1_161355000_161360000-chr1_161165000_161170000	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0.721152	2.44035	1
chr1_161615000_161620000-chr1_161705000_161710000	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0.479774	0	1
chr1_161710000_161715000-chr1_161500000_161505000	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0.0824619	0.016983	1
chr1_161710000_161715000-chr1_161505000_161510000	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0.453136	0	1
chr1_161755000_161760000-chr1_162005000_162010000	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0.230137	0	1
chr1_16510000_16515000-chr1_16400000_16405000	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0.548091	0	1
chr1_16685000_16690000-chr1_16400000_16405000	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0.221812	0	1
chr1_167230000_167235000-chr1_167400000_167405000	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0.482325	0.011346	1
chr1_167230000_167235000-chr1_167405000_167410000	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0.221157	0.011346	1
chr1_167235000_167240000-chr1_167400000_167405000	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0.0974658	0.011346	1
chr1_167235000_167240000-chr1_167405000_167410000	1	1	0	0	0	1	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0.384111	0.011346	1
chr1_169570000_169575000-chr1_169675000_169680000	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0.0654874	0	1
chr1_169770000_169775000-chr1_169560000_169565000	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0.160059	0	1
chr1_169775000_169780000-chr1_169560000_169565000	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0.293447	0	1
chr1_169885000_169890000-chr1_170500000_170505000	0	1	1	0	0	1	1	0	0	1	0	1	1	0	1	1	1	0	0	1	0.814153	0.688519	1
chr1_169885000_169890000-chr1_170505000_170510000	0	1	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0.287696	0.688519	1
chr1_170935000_170940000-chr1_171195000_171200000	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0.829847	0	1
chr1_171950000_171955000-chr1_171770000_171775000	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	1	0	0.891733	0	1
chr1_172710000_172715000-chr1_173170000_173175000	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	1	0	1	0	0.889462	0.484282	1
chr1_172790000_172795000-chr1_173170000_173175000	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0.604635	0.484282	1
chr1_17285000_17290000-chr1_17370000_17375000	1	1	0	0	0	1	1	0	1	0	1	1	0	0	1	1	0	0	1	0	0.489395	3.11431	1
chr1_173400000_173405000-chr1_173790000_173795000	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	1	0	0.587536	1.01971	1
chr1_174735000_174740000-chr1_174965000_174970000	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	0.380831	0	1
chr1_176040000_176045000-chr1_175125000_175130000	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0.20419	0	1
chr1_176865000_176870000-chr1_177140000_177145000	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0.044318	0.000329	1
chr1_178500000_178505000-chr1_179335000_179340000	1	1	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0.444177	0.005558	1
chr1_179775000_179780000-chr1_179675000_179680000	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0.982109	0	1
chr1_181105000_181110000-chr1_181000000_181005000	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	1	1	0	0	1	0.699065	1.03691	1
chr1_182110000_182115000-chr1_182365000_182370000	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0.999244	0	1
chr1_182750000_182755000-chr1_182055000_182060000	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0.26261	0.004439	1
chr1_182750000_182755000-chr1_182415000_182420000	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	1	0	0.855086	0	1
chr1_182855000_182860000-chr1_182820000_182825000	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0.980529	0	1
chr1_1835000_1840000-chr1_1710000_1715000	1	1	1	0	0	1	1	0	1	0	1	1	1	0	0	1	1	0	1	0	0.989315	1.183	1
chr1_183625000_183630000-chr1_184020000_184025000	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0.730573	1.01355	1
chr1_183655000_183660000-chr1_183620000_183625000	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	1	0.163889	0.000786	1
chr1_183780000_183785000-chr1_183440000_183445000	0	0	1	0	0	1	1	0	0	0	1	1	1	0	0	1	1	0	0	1	0.750777	0.801916	1
chr1_183785000_183790000-chr1_183440000_183445000	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0.720174	0.801916	1
chr1_183870000_183875000-chr1_183440000_183445000	0	0	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	0	0	1	0.455965	0.801916	1
chr1_183875000_183880000-chr1_183440000_183445000	0	0	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	0	0	1	0.489354	0.801916	1
chr1_183885000_183890000-chr1_183620000_183625000	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	1	1	0	1	1	0.329887	0.000786	1
chr1_184190000_184195000-chr1_183620000_183625000	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	1	0.459821	0.000786	1
chr1_200940000_200945000-chr1_201080000_201085000	1	1	0	0	1	0	1	0	1	0	1	1	0	1	0	1	0	0	1	0	0.473417	0	1
chr1_200945000_200950000-chr1_201080000_201085000	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	1	0	0	1	0	0.523558	0	1
chr1_201940000_201945000-chr1_201865000_201870000	1	1	0	0	1	1	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0.64749	0.001713	1
chr1_202285000_202290000-chr1_202155000_202160000	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0.998768	0.008535	1
chr1_20240000_20245000-chr1_20480000_20485000	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0.112533	0.000325	1
chr1_202460000_202465000-chr1_202535000_202540000	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0.255339	0	1
chr1_202685000_202690000-chr1_202155000_202160000	1	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0.968319	0.008535	1
chr1_203305000_203310000-chr1_203240000_203245000	1	1	0	1	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0.245809	0.004546	1
chr1_203450000_203455000-chr1_203240000_203245000	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	-0.000897508	0.004546	1
chr1_203670000_203675000-chr1_203240000_203245000	1	1	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0.303741	0.004546	1
chr1_204335000_204340000-chr1_203830000_203835000	1	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	1	-0.171431	0	1
chr1_204770000_204775000-chr1_204400000_204405000	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0.263696	0.444708	1
chr1_204775000_204780000-chr1_204400000_204405000	1	1	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0.551372	0.444708	1
chr1_204940000_204945000-chr1_205225000_205230000	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0.994926	0.018308	1
chr1_205245000_205250000-chr1_205290000_205295000	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	1	0.101827	0.025904	1
chr1_205365000_205370000-chr1_205490000_205495000	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0.861351	0.054255	1
chr1_205455000_205460000-chr1_205320000_205325000	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0.582872	0.499188	1
chr1_205675000_205680000-chr1_205630000_205635000	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0.192253	0	1
chr1_206230000_206235000-chr1_206305000_206310000	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	-0.462712	0.028667	1
chr1_206800000_206805000-chr1_207080000_207085000	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	1	1	0	0.121739	1.75663	1
chr1_207150000_207155000-chr1_206805000_206810000	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0.294976	0.237413	1
chr1_207155000_207160000-chr1_206805000_206810000	1	1	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0.352154	0.237413	1
chr1_207155000_207160000-chr1_206900000_206905000	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0.183331	0.87392	1
chr1_207570000_207575000-chr1_207260000_207265000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.111111	0	1
chr1_208190000_208195000-chr1_208415000_208420000	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	0	0.453762	0.000836	1
chr1_209795000_209800000-chr1_209740000_209745000	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0.239402	0	1
chr1_210580000_210585000-chr1_211305000_211310000	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	1	0	0.744236	0.00032	1
chr1_211650000_211655000-chr1_211495000_211500000	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	-0.0605321	0.72114	1
chr1_211685000_211690000-chr1_211495000_211500000	1	1	1	0	0	1	1	0	1	0	1	1	1	0	0	1	1	0	1	0	0.941004	0.72114	1
chr1_211690000_211695000-chr1_211825000_211830000	1	1	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0.365046	0	1
chr1_211755000_211760000-chr1_211825000_211830000	0	1	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0.293285	0	1
chr1_211870000_211875000-chr1_212205000_212210000	1	1	1	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	1	1	0.734906	1.10692	1
chr1_213545000_213550000-chr1_214500000_214505000	1	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0.889606	0.844662	1
chr1_214295000_214300000-chr1_213415000_213420000	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0.80887	0.26709	1
chr1_214385000_214390000-chr1_214500000_214505000	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0.826787	0.844662	1
chr1_214435000_214440000-chr1_214500000_214505000	1	1	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0.896374	0.844662	1
chr1_21690000_21695000-chr1_21580000_21585000	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0.556597	0.348214	1
chr1_218690000_218695000-chr1_218515000_218520000	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0.318395	0.000588	1
chr1_221650000_221655000-chr1_222625000_222630000	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0.675504	0	1
chr1_221925000_221930000-chr1_222010000_222015000	0	0	1	0	0	1	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0.437434	0	1
chr1_222265000_222270000-chr1_222625000_222630000	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0.921392	0	1
chr1_222340000_222345000-chr1_221910000_221915000	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	-0.444915	0.550935	1
chr1_222340000_222345000-chr1_221915000_221920000	1	1	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	1	0.241805	0.550935	1
chr1_222805000_222810000-chr1_222635000_222640000	1	1	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	1	0.405151	0	1
chr1_223260000_223265000-chr1_222635000_222640000	1	1	0	0	0	0	0	1	1	0	1	1	1	0	0	1	1	0	1	1	0.405332	0	1
chr1_223415000_223420000-chr1_223315000_223320000	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0.298228	0.065463	1
chr1_223870000_223875000-chr1_223305000_223310000	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	1	0	0.642888	0.065463	1
chr1_224235000_224240000-chr1_223885000_223890000	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0.81155	0.143606	1
chr1_224510000_224515000-chr1_223885000_223890000	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0.0216243	0.143606	1
chr1_224645000_224650000-chr1_224300000_224305000	1	1	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	1	0.379342	0.423012	1
chr1_224825000_224830000-chr1_224700000_224705000	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0.579596	0.098584	1
chr1_225035000_225040000-chr1_224700000_224705000	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0.888686	0.098584	1
chr1_225660000_225665000-chr1_226095000_226100000	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0.956901	0.001137	1
chr1_225665000_225670000-chr1_226095000_226100000	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0.994636	0.001137	1
chr1_226300000_226305000-chr1_226250000_226255000	0	1	0	0	0	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1	0.480309	3.8785	1
chr1_226305000_226310000-chr1_226250000_226255000	1	1	1	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	0.69671	3.8785	1
chr1_227970000_227975000-chr1_228360000_228365000	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0.101854	0.034407	1
chr1_227975000_227980000-chr1_228360000_228365000	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0.101854	0.034407	1
chr1_231340000_231345000-chr1_230775000_230780000	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	1	0	1	1	-0.397812	0.322044	1
chr1_231345000_231350000-chr1_230775000_230780000	1	1	0	0	0	1	0	0	1	0	1	1	1	1	0	1	1	0	1	1	0.69144	0.322044	1
chr1_231345000_231350000-chr1_231055000_231060000	1	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0.0755454	0.269987	1
chr1_234630000_234635000-chr1_234860000_234865000	1	1	1	0	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0.712377	0.001537	1
chr1_234630000_234635000-chr1_235115000_235120000	1	1	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	1	0.705996	0	1
chr1_234635000_234640000-chr1_234740000_234745000	1	1	1	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	0	1	0.523323	0.674733	1
chr1_234635000_234640000-chr1_234860000_234865000	1	1	1	0	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0.704479	0.001537	1
chr1_234635000_234640000-chr1_235115000_235120000	1	1	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	1	0.69125	0	1
chr1_234900000_234905000-chr1_234740000_234745000	1	1	0	0	0	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	0.133006	0.674733	1
chr1_234900000_234905000-chr1_234745000_234750000	1	1	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	1	1	0.543986	0.674733	1
chr1_234905000_234910000-chr1_234740000_234745000	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	0.42146	0.674733	1
chr1_234905000_234910000-chr1_234745000_234750000	0	1	1	0	0	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	0.848749	0.674733	1
chr1_235140000_235145000-chr1_234740000_234745000	0	0	1	0	0	1	1	0	0	0	1	1	1	0	1	1	1	1	0	1	0.655963	0.674733	1
chr1_235140000_235145000-chr1_234745000_234750000	0	0	1	0	0	1	1	0	0	0	1	1	1	0	0	1	1	0	1	1	0.580696	0.674733	1
chr1_235145000_235150000-chr1_234740000_234745000	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	0.330204	0.674733	1
chr1_235145000_235150000-chr1_234745000_234750000	0	1	1	0	0	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	0.796553	0.674733	1
chr1_236320000_236325000-chr1_236045000_236050000	1	1	1	0	1	1	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0.559568	0.75171	1
chr1_236325000_236330000-chr1_236045000_236050000	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0.77383	0.75171	1
